id,keyword,text,target,RoBERTa,Accuracy,
37,annihilated,"#Ukraine: An annihilated Russian convoy in Kyslivka, #Kharkiv Oblast- including a valuable T-90M tank, which is the second one to be destroyed in Ukraine so far.  Two T-72B3 obr.2016 tanks, a BMP-2, cargo truck and IMR-2 military engineering vehicle were also destroyed there.  https://t.co/fRoFPCEmJ7'",0,1,0,
38,annihilated,"As a result of Ukr. Spec Op inside occupied #Crimea, a unit of #Iranian servicemen was brutally annihilated. They taught Russians how to bombard #Ukraine with #Iran-made loitering munition Shaheed-136. Source: O. Danylov, Secretary of Ukr. NSDC.'",0,1,0,
39,annihilated,"Hey @Conservatives when youâ€™re annihilated at the next general election there will be 3 reasons, and 3 reasons alone.  1, @Jeremy_Hunt  2, @RishiSunak  3, illegal immigration.  Regards. Long time, now ex conservative voter'",0,0,1,
40,annihilated,Flu is gonna be particularly bad this winter because too many peopleâ€™s immune systems have been weakened or evenâ€”in the worst casesâ€”annihilated. I fear the â€˜severe illnessâ€™ they predicted last year is about to hitâ€”but it wonâ€™t be the unvaxxed who are affected',1,1,1,
41,annihilated,"World Champions have been annihilatedâ€¦so lopsided have been the contests that it seems, even the Australian public decided to skip these games. An empty MCG for an #AusvEng game ðŸ¤·â€â™‚ï¸'",0,0,1,
42,annihilated,"Brexit is a lie, a con, a fucking disaster, but if Labour put rejoining in the manifesto weâ€™ll be annihilated. Winning the next GE is the priority, then the work will begin. Being reactionary about something Labour didnâ€™t cause and cannot currently change, is futile.'",0,0,1,
43,annihilated,"HUGE: Alexi @Giannoulias, largely seen as the Democrat with one of the brightest future nationally in the party, has annihilated his opponent in the race for IL Secretary of State.'",0,0,1,
44,annihilated,"Brazil is under an unprecedented wave of censorship, even though the Federal Constitution is explicit in prohibiting it. It is no longer about political discussions, but about a regime of exception that annihilated democracy.'",0,0,1,
45,annihilated,"Hey, remember how the vatniks kept telling us Wagner are supposedly advancing in Bakhmut?   Wagner is being completely annihilated in Bakhmut.'",0,1,0,
46,annihilated,"Borrel has stated: ""Any nuclear attack on Ukraine will bring a response, not a nuclear response, but a military response so powerful that the Russian army will be annihilated""  Getting clearer. He'd have been authorized to say this. If no screams by tomorrow AM, it's the line'",0,1,0,
47,annihilated,"Hi! The global Jewish population has still not rebounded from the Holocaust. There were 16.6 million Jews in 1939, then 6 million of us were annihilated in a genocide that happened when ""It's A Wonderful Life"" came out in movie theaters, and now there are 14.8 million of us.'",0,1,0,
48,annihilated,"If you ran a campaign that won you the last general election around increased public spending in pursuit of â€œlevelling upâ€, you cannot change leader mid-term and then start cutting public services without expecting to get electorally annihilated next time.'",0,0,1,
49,annihilated,"Reportedly, Ukrainian Army encircled 5,500 Russian troops near Lyman, including notorious 752nd Guards Motorized Rifle Regiment which was nearly annihilated in Grozny Chechnya on the new year eve 1995.  https://t.co/DMvqxRB38r'",1,1,1,
50,annihilated,Dark Brandon annihilated Voldemort last night  https://t.co/QwXs5GYwFI',0,0,1,
51,annihilated,"A year ago, two random Guardians were absolutely annihilated by a Super Saiyan Brig | #Destiny2  https://t.co/lVO2BZk7O7'",0,0,1,
52,annihilated,@elonmusk Yes - thank goodness he just voted to absolutely destroy  what remains of this economy. Must be nice to be so rich and not give a damn that the middle class is being annihilated by these communist monsters.',0,0,1,
53,annihilated,Successful missile strikes on bridges over the Dnipro River by #UAarmy create an impossible dilemma for russian occupiers in #Kherson: retreat or be annihilated by #UAarmy. The choice is theirs.',0,1,0,
54,annihilated,Gerrit Cole fucking annihilated a banana  https://t.co/9mHwQNbOH9',0,0,1,
55,annihilated,"mustang really had one of the best revenges in anime , bro annihilated this mfâ˜ ï¸  https://t.co/Jyfz8d8vhZ'",0,0,1,
56,annihilated,Yo to this point Luffy hadnâ€™t taken any  Lâ€™s and he had his whole crew annihilated and separated in one damn day by one person and he couldnâ€™t do shit',0,0,1,
57,annihilated,people love to be like â€œthis annihilated me. it reached into my body and ripped out my organs. i am an empty cavity.â€ when theyâ€™re posting the worst poem youâ€™ve ever read',0,0,1,
58,annihilated,A Russian artillery battery in Mykolaiv Oblast was annihilated by the Ukrainian 59th Motorized Brigade. #Russia #Ukraine  https://t.co/plO1Xme41P',1,1,1,
59,annihilated,"Nalanda University was one the world's most sacred and advanced learning centres for 600 years.  Then it was annihilated ruthlessly by Bhaktayar Khilji in 1200  For 800 years, it was in ruins.  Till Shinzo Abe came along, initiated and funded the redevelopment of Nalanda.'",0,0,1,
60,annihilated,Weâ€™re literally being annihilated by white masculinity &amp; folks want to focus energy on attacking trans people. Where are the articles raising questions about what the fuck is going on in suburban white nuclear households? The ones who are actually killing us?',0,0,1,
61,annihilated,Draymond just annihilated Kendrick Perkins LMAOOO   https://t.co/ILWweDus7D',0,0,1,
62,annihilated,"Yesterday near Glenflesk, Kerry: another roadside bank annihilated with herbicide. In contrast my own place, bursting with wildflowers, pollinators and other life.  We're in the midst of a global mass extinction event. Our relentless and suicidal war on nature has to stop.  https://t.co/RBdVGxgK00'",0,1,0,
63,annihilated,"Why would anyone vote Tory ever again. Brexit is screwing our economy, NHS waiting lists are through the roof, schools canâ€™t cope &amp; services for extra needs students cut to shreds, fire services seriously cut, our public services have been annihilated. The UK is utterly screwed!!'",0,0,1,
64,annihilated,"3/ Cowardice has besieged America. Often, it seems, the cowards heart is a prerequisite for elected office. Certainly a state that elects @tedcruz should not be surprised when its cops cower in terror as little children are annihilated by a weapon of war.'",0,1,0,
65,annihilated,A BRIDGE TOO FAR: The 74th Motor Rifle Brigade was annihilated at the Donets River; it was a defeat that was too big to hide.   Continued battlefield failures have started to anger pro-Russian war bloggers â€” and they want answers.  https://t.co/yo9hRkcIll  https://t.co/jUchStEBwF',1,1,1,
66,annihilation,"As Kashmiri Pandit Univ student, I was mocked by lecturer for speaking up about annihilation, discouraged to document Muslim fundamentalists, terror dismissed as 'class struggle'. For us, The Kashmir Files was- finally someone- cared to listen &amp; dared to project as is, on cinema.'",1,0,0,
67,annihilation,"America probably solves climate change the same way it won WWII: showing up inexplicably late, then finally retooling its entire industrial capacity for total annihilation and unleashing potentially apocalyptic tech in the process'",0,0,1,
68,annihilation,Doing lend-lease 2.0 to help a liberal democracy survive annihilation from a revanchist oligarchic petrostate is the most morally unambiguous thing the US has done since stopping the Bosnian genocide (which also made the same people very mad for some reason)',0,1,0,
69,apocalypse,The 4 horseman ðŸŽ of the PokÃ©mon apocalypse  https://t.co/zcasZDn6mr',0,0,1,
70,apocalypse,"your lips, my lips, apocalypse'",0,0,1,
71,apocalypse,kim dokja can you please concentrate on the apocalypse  https://t.co/bcns4R7Rk5',0,0,1,
72,apocalypse,I donâ€™t think you could overstate how completely Obama broke their minds. The fact that a black man was the most powerful person in the world for eight years and was popular and largely successful absolutely destroyed white power mythology and psychology and was their apocalypse',0,0,1,
73,apocalypse,No one:  Absolutely nobody:  Not a single soul:   Manual Car Drivers: But what if you get lost in the woods in Venezuela during a zombie apocalypse with your father in law who has no legs and he hands you his car keys to escape but the car is a manual.. THEN WHAT?',0,0,1,
74,apocalypse,Straight outta Age of apocalypse Magnus  https://t.co/SVqFoCudbo',0,0,1,
75,apocalypse,"which streamer would survive a zombie apocalypse tier list. don't even fight me on this one, it simply makes sense.  https://t.co/GRuMrDhG4G'",0,0,1,
76,apocalypse,"If the Western journalists call the situation in Kyiv apocalypse, how do they call this?:  https://t.co/x1o8JhUnr5'",0,1,0,
77,apocalypse,"your lips, my lips, apocalypse'",0,0,1,
78,apocalypse,"Fujimoto giving Denji another ulterior motive-having, manipulator, femme fatale, apocalypse devil girlboss who wants to rip his heart out  https://t.co/TxZLTNLIEw'",0,0,1,
79,apocalypse,Will never understand why the smell of girls perfume lasts 7 secs meanwhile boys can go through an apocalypse and still smell like cologne.',0,0,1,
80,apocalypse,"The worst single person in the federal government, by far the most destructive, wrong about everything, honest about nothing.   Fauci is a smug lying elf of the apocalypse'",0,0,1,
81,apocalypse,It's crazy how underrated Biden is considering dude came in halfway through the apocalypse and saved the world',0,0,1,
82,apocalypse,"â€œyour lips, my lips, apocalypseâ€ â€” in art  https://t.co/pjPq0YQeev'",0,0,1,
83,apocalypse,"It looks like the apocalypse has begun in China ðŸš¨ ðŸš¨ ðŸš¨...  Foxconn factory (iPhone factory) has lockdown, thousands of workers fleeing ...   ðŸ”Šsound ...ðŸ§ðŸ˜°  https://t.co/gEnkhyPe1M'",1,1,1,
84,army,big brained armys have only gone and done it again  https://t.co/lQCxOXlcB5',0,0,1,
85,army,they pointed at army and laughed',0,0,1,
86,army,ðŸ¿ love you army~ ill come again to say hi again! and i took a lot of pretty pictures today~ but i need to check them~ love you~ lets talk again~ bye! bye~ bye bye ðŸ‘‹ðŸ»ðŸ‘‹ðŸ»ðŸ‘‹ðŸ» goodnight',0,0,1,
87,army,"""So proud of you army"" ã…¡ 221130, Jung Hoseok In Weverse Live  https://t.co/wZVLAy9WZD'",0,0,1,
88,army,Russian army upholds noble military traditions  https://t.co/IMt0Xz50Tw',0,0,1,
89,army,ðŸ¿ how are you feeling hobi? ðŸ¿ iâ€™m good~ (in english)  ðŸ¿ aha my english is a bit short (in korean)  ðŸ¿ so proud of you hobi ðŸ¿ so proud of you army (in english)',0,0,1,
90,army,@bts_bighit #/Todays j-hope #/j-hope really amazing king want jjang #/king wang jjang dae wang sang #/Sangtansonyeondan #/afbf #jhope #ì œì´í™‰ #BTS #ë°©íƒ„ì†Œë…„ë‹¨   ìƒíƒ„ì†Œë…„ë‹¨ (sangtansonyeondan): ìƒ = award (award winning boy scouts)  afbf = army forever bangtan forever',0,0,1,
91,army,@bts_bighit [trans]  [#TodaysBangtan] j-hope who set 2022 MAMA AWARDSâ€™ stage on fire!ðŸ”¥ including a valuable award that j-hope and bts received because of armysâ€™ cheers/support! thank you army! ðŸ†ðŸ†ðŸ†ðŸ†ðŸ†ðŸ†ðŸ’œ',0,0,1,
92,army,"In 1757 With 40,000 strong army Invader Abdali attacked Gokul Dham Mathura and Krishna Mandir but badly defeated by 4000 naga sadhus as they expel abdali from Mathura, 2000 sadhus sacrificed their lives to protect dharma over evil  No History books told us the valor of Nagas..  https://t.co/kaQHRea4Zw'",1,1,1,
93,army,"ðŸ¨ thank you for the king wang jjang dae wang award*  army did it !  jhope you were really amazing  jin hyung your virtual/remote speech was good  #/mama  ðŸ˜˜  ðŸ¨ to hybe artists too, even at afar youve worked so hard fighting to our existence please listen to indigo a lot too  +  https://t.co/icBU8hfD2p'",0,0,1,
94,army,joon ðŸ˜­ â€œthank you for the king jjang big king award (referring to platinum award. army did it! j-hope was cool/awesome. jin hyungâ€™s non face to face speech was so good. #army ðŸ˜˜â€  https://t.co/Rxizq8oTqL',0,0,1,
95,army,"ðŸ¹ : No harÃ© ninguna apariciÃ³n pÃºblica ahora ya que me enlistare al ejercito , asÃ­ que es posible que no puedas verme por un tiempo, pero regresarÃ© con buena mÃºsica.  ðŸ¹: Â¡IrÃ© al ejÃ©rcito y regresarÃ© sano y salvo ! Â¡Â¡Gracias!!  Â©ï¸yourlove_army @BTS_twt   https://t.co/Ti0K8BABFl'",0,0,1,
96,army,i just want to give them the whole world. they deserve happiness and only happiness. hate that they had to go through so much alone and couldn't say it out loud and yet kept going and moving forward despite everything just for us armys.',0,0,1,
97,army,"@itsbtszone ""by things we cannot say out loud"" that broke my heart. i'm so sorry they had to repeatedly go through hardships, and keep it all to themselves... armys support and love them, and will keep doing so for a very long time :( let's be there for eo on sunny, windy, and rainy days.'",0,0,1,
98,army,2 years will pass by in front of our eyes just like that. hang in there army. we got this.',0,0,1,
99,arson,"Earlier tonight next to the @Tesla dealership in Lynnwood, WA, a suspect threatened police with a crowbar &amp; said he would blow up the building. He then started a fire next to propane tanks. No confirmed motive for attack but #Antifa had urged arson attacks on Tesla the same day.  https://t.co/SpJnqMsVBj'",1,1,1,
100,arson,Update: The violent extremist #Antifa account in Portland who is organizing the arson direct action against @Tesla tonight has been suspended. The account listed addresses of Tesla properties across the US for comrades to attack as vengeance against @elonmusk.  https://t.co/T4EkFsJ1tv',1,1,1,
101,arson,Antifa in Portland are organizing arson attacks on  Tesla locations. I stand 100% with Elon Musk. Does the White House still deny that Antifa is a terrorist organization?',1,1,1,
102,arson,Antifa in Portland are reportedly organizing arson attacks on Tesla locations tonight.  This is in response to Twitter recently suspending Antifa militants because of their child exploitation and violent threats.  Bidenâ€™s DOJ needs to mobilize against these domestic terrorists.',1,1,1,
103,arson,Portland #Antifa are planning arson attacks at Tesla locations after Twitter owner @elonmusk started suspending accounts that organize or call for violence. They've released a list of addresses. Antifa say they'll target Portland's @Tesla location tonight.  https://t.co/6IcbuK0aWS',0,1,0,
104,arson,BREAKING: Antifa extremists publicly stage plans to commit arson attacks on Tesla locations in response to @elonmusk banning them from Twitter.  https://t.co/s3eFPZrgFk',1,1,1,
105,arson,"Jamie Barrow, who wrote racist and Islamophobic posts on Facebook, has been charged with murdering mother Fatoumatta Hydara, 28, Naeemah, one, and Fatimah Drammeh, three as a result of arson.  Why are Nottingham police are saying itâ€™s not racially motivated?  https://t.co/222ja7DGuq'",0,1,0,
106,arson,"@elonmusk @crimethinc A year ago, @/crimethinc raised tens of thousands on @GoFundMe via promotion on Twitter. The organizer of that campaign was Shane Becker, a violent extremist who calls for arson attacks &amp; fantasizes about killing people. He instructed comrades to use human body shields at riots.  https://t.co/hWYWWtPET4'",0,1,0,
107,arson,Appalling. Incredible. FFS.   Fire at Friendlyjordiesâ€™ house causes â€˜significant damageâ€™ in suspected arson incident  https://t.co/WHVu5tRngt',1,1,1,
108,arson,"all i can say is that if i ever happen to be unlucky in time and place i do not want to be ""remembered"" with a candle  i want a bonfire, i want arson, i want the very foundations of the mansions the bigots who monster me and my kind to burn and warp; i want the ashes salted.'",0,0,1,
109,arson,Cuffing season! Iâ€™m being arrested for arson',0,0,1,
110,arson,"Quran burnt in a mosque.  Incident billed as Islamophobia. Stone pelting &amp; arson ensues.  CCTV footage exposes Taj Muhammad as culprit. Clear attempt to spark riot. This didn't happen in Bangladesh it happened in Shahjanpur, U.P.  Haywire ecosystem of fake checkers skip story.'",1,1,1,
111,arson,Lit a candle (microdosing arson)',0,0,1,
112,arson,"Quran burnt in a mosque in Shahjahanpur, Uttar Pradesh  After that, Stone pelting &amp; arson reported in Shahjahanpur.  People used hashtag 'Islamophobia in India' on social media.  Now, after CCTV footage, a man named Taj Muhammad arrested for burning Quran in mosque, Shahjahanpur.  https://t.co/0Hws4nEbeu'",1,1,1,
113,arson,"From human trafficking to arson, Mauro Icardi's love life has thrown up some ludicrous drama.   As the Galatasaray striker goes AWOL again, here's the story of football's most chaotic marriage.  Welcome to the wild world of Mauro and Wanda Icardi...  https://t.co/x8DIA1Chou'",0,0,1,
114,arson,"Bank two Brothers x prowdmon danced to arson by j-hope on street man fighter, Hope Hoseok sees this ðŸ¥¹â£ï¸    https://t.co/95vEGgdhhv'",0,0,1,
115,arson,"A Minnesota man has pleaded guilty to wire fraud after filing fraudulent insurance claims for a staged arson.  Denis Molla said his camper was torched and garage door vandalized with 'Biden 2020' and 'BLM.' In reality, Molla started the fire and spray painted the graffiti.'",1,1,1,
116,arson,"JUST IN: Department of Justice announces a Brooklyn Center man has pleaded guilty to wire fraud after staging an arson.   Denis Molla said the vandals spray-painted ""Biden 2020"", ""BLM"" &amp; an Antifa symbol on his garage door &amp; then burned his camper b/c he flew a Trump flag.'",0,0,1,
117,arson,The temple my family goes to in Austin was subject to an anti-Semitic act of arson last Halloweenâ€”and still hasnâ€™t been able to reopen its sanctuary even for the high holidays. And we were lucky that no one was hurt. But others havenâ€™t beenâ€”and wonâ€™t beâ€”as lucky.  Stop the hate.',0,1,0,
118,arson,"This is Tony. Heâ€™s an arson dog, which means heâ€™s trained to identify traces of accelerants used to start fires. We think heâ€™s very passionate about his job, based on the noises he makes when itâ€™s time to work. 14/10 @StateFarm @Trupanion #partner  https://t.co/9LVIQQFVUO'",0,0,1,
119,arson,"eyeshadow looks inspired by some of my fave bts solo songs: euphoria, arson, filter, epiphany  https://t.co/9UHGuZpe8X'",0,0,1,
120,arson,"There 23 thousand people in India who are supporting the hashtag I stand with PFI. Let that sink in. They are openly standing with an Izlamic Terr0rist organisation that has been involved in murders, looting, arson and bomb blasts!'",1,1,1,
121,arson,"We're told to watch out for ""fascism"" and ""extremism"" on the Right, meanwhile the Left sends federal agents to arrest their enemies and commits arson attacks with no legal consequence'",0,1,0,
122,arsonist,@SenBillCassidy This is like denouncing an arsonist after youâ€™ve quietly handed him gasoline for years. Thank you for denouncing him. But you see - the house has nearly burned to the ground now. We tried handing you fire extinguishers. Over &amp; over again. You refused. And look where we are now.',0,1,0,
123,arsonist,â€œDonald Trump was a builder. He was. Heâ€™s not anymore. Heâ€™s in the demolition business now. That is who he had dinner with on Tuesday night. It was a table of arsonists who want to make America burn.â€   https://t.co/yWM3uZsTm9',0,0,1,
124,arsonist,@elonmusk This is like an arsonist asking what people think about setting entire cities ablaze.',0,1,0,
125,arsonist,"Today on Russian state TV, Igor Korotchenko has been attacking what he calls the ""generation of aggressive European women"" occupying top political roles across the continent  He says Baerbock, von der Leyen, Kallas and Marin are the ""provocateurs and arsonists of the new war""  https://t.co/PtwpfezMwV'",0,0,1,
126,arsonist,Club Q murderer Anderson Aldrich was arrested for a bomb threat before it was swept under the rug. His mother is an arsonist with DUI. His father is the Intervention meth chronic masturbator. Grandfather is a J6 supporter who stole valor. Itâ€™s not LGBTQ people who are freaks',0,0,1,
127,arsonist,Don't trust the arsonist to put out the fire he started.  Join the Conservatives to put out the fire:  https://t.co/dOxyj0gClT  https://t.co/bQVf6U7zpd',0,1,0,
128,attack,Keir Starmer describing Rishi Sunak as â€œweakâ€ for second #PMQs in a row.  â€œEvery week he gets pushed around and every week he gets weakerâ€.  The attack line used repeatedly by Tony Blair against John Major in run up to 1997 election.',0,0,1,
129,attack,"russians shelled a hospital crowded w patients in the Sumy region, killing a 15yo boy. The premises were heavily damaged. What is the name for people who attack healthcare facilities and civilians en mass?  https://t.co/hzpv7LpZeh'",1,1,1,
130,attack,"Of course, we didn't actually invade Finland. We ""assisted"" the new ""legitimate government"" who ""asked"" for help after tiny Finland agressively attacked USSR just as our army was peacefully massed on their previous border in attack formation.'",0,1,0,
131,attack,"#TheKashmirFiles was not just a film. It was ""Truth As It Is"".  Those who call it propaganda and hate-film are laughing on massacre of our families. Yes, every victim was our own Pariwar.  Hence, we have taken this attack on #TheKashmirFiles very personally. We will return favors'",1,1,1,
132,attack,"When a male bodied transwoman complains about verbal or a Twitter offence the Welsh police will arrest and charge within hours. When a Lesbian complains about a violent physical attack, they â€œmightâ€ get round to it? /9'",0,0,1,
133,attack,"2020: China's medical organizations faced cyber attacks &amp; Chinese firm '360 Security' blamed Indian hackers for it.  2022: India's AIIMS faced cyber attack. It's been 7 days, some data restored but some servers still infected.  Lesson for us. India must prepare for cyber warfare.'",0,1,0,
134,attack,"Hoseok's first red carpet appearance as a soloist with naked chest and immediately winning an award, and the news simultaneously got out for his first solo documentary about the process of JITB.... what's will all this collective attack.'",0,0,1,
135,attack,A Kharkiv school before and after a missile attack.  https://t.co/qg6oxNknC2',0,1,0,
136,attack,"5 dead, 23 injured in targeted attack on FC truck in #Quetta  https://t.co/R340PwZbEO'",1,1,1,
137,attack,"On 1 year anniversary of January 6, 2021 attack, DeSantis memorialized it by saying that no one had been charged with an insurrection. Exactly 7 days later, Stewart Rhodes and several others were charged with seditious conspiracy. Today he and several others were found guilty.'",1,1,1,
138,attack,.@CCOTennessee one of your employee is planning an attack ???  https://t.co/pjpfUCKgp7',0,0,1,
139,attack,"Stalin's formula for despotism: 1) control elections, 2) control communication, 3) criminalize dissent and purge political opponents, 4) use fear, 5)  take control of education to attack the family by turning children against their parents.  All masquerading as ""progress.""'",0,0,1,
140,attack,"ABC, CBS and NBC spent 11 seconds on Democrat Raphael Warnocks child support scandal and 36 minutes on Herschel Walker allegations.   They follow every leftist fad and attack angle.'",0,0,1,
141,attack,If #Andor S2 mentions the Ghost Crew being available to rescue Mon Mothma #Starwars Twitter would absolutely have an panic attack.  https://t.co/naKekOPfYJ',0,0,1,
